t,x,y,couleur
0,28.5717,31.9391,bleu
0,28.5717,33.0616,bleu
0,28.5717,34.184,bleu
0,28.5717,35.3065,bleu
0,28.5717,36.4289,bleu
0,28.5717,37.5514,bleu
0,28.5717,38.6739,bleu
0,28.5717,39.7963,bleu
0,28.5717,40.9188,bleu
0,28.5717,42.0412,bleu
0,28.5717,43.1637,bleu
0,28.5717,44.2862,bleu
0,28.5717,45.4086,bleu
0,28.5717,46.5311,bleu
0,28.5717,47.6536,bleu
0,28.5717,48.776,bleu
0,29.6942,5,bleu
0,29.6942,6.12246,bleu
0,29.6942,7.24492,bleu
0,29.6942,8.36739,bleu
0,29.6942,9.48985,bleu
0,29.6942,10.6123,bleu
0,29.6942,11.7348,bleu
0,29.6942,12.8572,bleu
0,29.6942,13.9797,bleu
0,29.6942,15.1022,bleu
